# specdump w=1024 bins=511 windows=32 segs=32768 z=-18.089844 h_norm=0.97891909
# fold=1 exposure=128 frame=800x800 seg_per_row=2.0000 pred_bin=512.0
# raw_bias=0.494031 raw_sigma=1.7680 bias=0.496457 sigma=1.4233
bin;p
384;0,001462528
385;0,001986953
386;0,001679960
387;0,001057980
388;0,001659018
389;0,001915693
390;0,002654339
391;0,001663285
392;0,001722644
393;0,001830754
394;0,001759086
395;0,001687075
396;0,001997773
397;0,001487901
398;0,001566048
399;0,001403223
400;0,001140670
401;0,001390659
402;0,001533995
403;0,002167232
404;0,001159952
405;0,001657061
406;0,001536153
407;0,001531287
408;0,001881496
409;0,001457034
410;0,001545067
411;0,001559644
412;0,001777372
413;0,001980481
414;0,001975954
415;0,001796583
416;0,002337191
417;0,001788653
418;0,002133922
419;0,001542013
420;0,001668066
421;0,001597161
422;0,001859640
423;0,001862583
424;0,001835501
425;0,001714188
426;0,001535859
427;0,002124653
428;0,002085815
429;0,001243822
430;0,001838390
431;0,001525969
432;0,001510393
433;0,001375580
434;0,002026391
435;0,001729164
436;0,001667038
437;0,001794213
438;0,001910034
439;0,002062880
440;0,001739015
441;0,001862029
442;0,001895528
443;0,002267575
444;0,003015707
445;0,003260033
446;0,005144729
447;0,003576954
448;0,003039683
449;0,005938126
450;0,006521639
451;0,008647346
452;0,008167596
453;0,006214111
454;0,003263589
455;0,002634887
456;0,002180959
457;0,001659850
458;0,001912838
459;0,001482339
460;0,001658720
461;0,001705142
462;0,002141179
463;0,001859357
464;0,001967828
465;0,001601992
466;0,001926235
467;0,001410584
468;0,001337924
469;0,001252426
470;0,001917849
471;0,002768934
472;0,001678756
473;0,001743805
474;0,001950794
475;0,001930109
476;0,001668240
477;0,001874527
478;0,001520806
479;0,001313854
480;0,001654307
481;0,001490627
482;0,002004063
483;0,001830771
484;0,001456445
485;0,001328414
486;0,001235179
487;0,001067955
488;0,001660625
489;0,001693450
490;0,001448063
491;0,001109162
492;0,001871860
493;0,001868128
494;0,002244449
495;0,001378892
496;0,001999559
497;0,001589605
498;0,001911999
499;0,002041310
500;0,001656208
501;0,001594914
502;0,001341837
503;0,002396221
504;0,001550521
505;0,001767979
506;0,001640547
507;0,001568740
508;0,001583055
509;0,001685231
510;0,002040001
511;0,001528113
