# elotto v3 mode=649 focus=off score=high items=346/5005 ranked=273 excl=73 void=0 blocks=4 paused_ms=0 pass_mean=0,000000 pass_sigma=1,022620 pass_chi2=284,4443 pass_stouffer=0,0000 v_eff=1,0201 null_flags=0 flush_timeouts=0 drift_t=0.00 unlimited=off runs_cap=100 rounds=1 run_s=1,50 run_segs=39130 gap_s=0,60 compacted=0 ent_w=0,600 ent_win=38 ent_h0=0,99789939 ent_sd=0,00013085 ent_n=273 ent_clamp=2 rank_mean=-0,022111 rank_sigma=3,201801 fw=3b4d8ed/5cba7061d053abab
# nodes=master,192.168.178.155,192.168.178.145,192.168.178.103
# fw_nodes=5cba7061d053abab,a0a5d77e03fcb942,a0a5d77e03fcb942,37175acddd1aa225
order;item;n1;n2;n3;n4;n5;n6;e1;e2;z_raw;z_ctr;block;k;skip_rank;z0;z1;z2;z3;round;zh_ctr;key;h0;h1;h2;h3
29;1410;3;14;23;32;39;43;0;0;-2,027764;-2,0631;0;4;0;-0,176586;0,066488;-1,053322;-2,892107;1;9,5602;-9,0990;1,4243;-1,5181;-0,0619;-184,0132
30;2772;4;14;26;27;39;43;0;0;0,738636;0,7033;0;4;0;0,069348;1,394817;-0,227584;0,240691;1;2,2077;-1,4468;-0,0159;0,7526;0,1036;-199,7141
31;4605;16;23;26;27;32;36;0;0;-0,630802;-0,6661;0;4;0;-1,052369;2,464344;-1,496575;-1,177004;1;-8,5124;6,7132;0,8794;-0,9070;-0,7497;-219,5368
32;1417;3;14;25;26;27;36;0;0;0,586714;0,5514;0;4;0;0,615550;1,376229;-0,499255;-0,319095;1;5,9523;-4,6468;1,6359;-0,5010;1,4428;-193,9624
33;4108;14;16;23;25;38;43;0;0;0,663569;0,6282;0;4;0;-0,293119;1,176765;0,150611;0,292881;1;-2,8445;2,7152;-0,4316;-0,1363;-0,5927;-207,8177
34;2865;4;16;23;26;28;39;0;0;-0,354125;-0,3895;0;4;0;0,385344;0,909384;-0,575752;-1,427227;1;-6,8063;5,4472;0,8122;0,0091;-1,9214;-215,8019
35;4131;14;16;23;27;28;32;0;0;0,790826;0,7555;0;4;0;0,627704;-0,559786;1,182247;0,331487;1;-1,2490;1,4583;0,5494;-0,4075;-0,7855;-205,1437
36;1435;3;14;25;26;39;43;0;0;-0,012392;-0,0477;0;4;0;-0,703486;2,136909;-0,059577;-1,398630;1;-0,7696;0,6139;0,6857;1,4674;0,8861;-207,8677
37;4626;16;23;26;32;36;39;0;0;0,450521;0,4152;0;4;0;1,487758;0,526184;-0,472088;-0,640811;1;-2,9875;2,7160;-2,6223;-2,3810;-0,1613;-204,0996
38;3369;10;14;16;26;36;38;0;0;0,268216;0,2329;0;4;0;0,429670;0,729938;-1,362884;0,739708;1;5,4452;-4,4015;0,5094;0,7722;1,0605;-194,7411
39;2617;4;14;16;38;39;43;0;0;0,467322;0,4320;0;4;0;-1,136730;0,902949;0,887698;0,280727;1;-2,1282;2,0104;-1,9441;0,3570;1,6547;-207,6133
40;1503;3;14;26;36;38;43;0;0;-0,709801;-0,7451;0;4;0;-0,657730;0,208758;-1,599524;0,628895;1;0,5077;-0,8358;-1,2200;0,7431;2,4423;-204,2393
41;2040;4;10;14;16;32;39;0;0;0,262497;0,2272;0;4;0;-0,166577;0,711350;0,132023;-0,151802;1;-0,7736;0,7697;-0,9710;0,6239;0,7912;-205,2807
42;495;3;4;16;28;39;43;0;0;0,812273;0,7769;0;4;0;-0,860769;0,950849;0,176348;1,358118;1;-0,4558;0,8102;1,3719;0,6083;-0,4085;-205,7726
43;4604;16;23;26;27;28;43;0;0;0,740423;0,7051;0;4;0;0,001430;2,231279;0,346500;-1,098362;1;-6,0117;5,3931;1,3946;0,3194;-1,2880;-215,7387
44;2314;4;10;23;25;38;43;0;0;0,474471;0,4391;0;4;0;-0,092225;1,943164;-0,912482;0,010486;1;-1,6224;1,5935;-0,8821;-0,8420;-0,6598;-204,1501
45;3449;10;14;23;26;32;36;0;0;-1,071195;-1,1065;0;4;0;-1,023772;0,243074;0,550253;-1,911946;1;-10,8166;8,3862;-0,6601;0,3204;-0,9585;-223,6243
46;2814;4;14;28;32;36;39;0;0;-0,739113;-0,7745;0;4;0;-1,830206;0,508311;0,698243;-0,854573;1;-7,8235;6,0799;1,6940;-0,6721;-0,4408;-219,5172
47;3251;4;26;27;36;38;43;0;0;0,237474;0,2021;0;4;0;-0,388204;2,681681;-0,014537;-1,803992;1;-0,9288;0,8849;0,9494;0,2379;-1,6888;-204,6454
48;3583;10;14;26;36;39;43;0;0;1,476081;1,4407;0;4;0;0,470420;3,503129;-0,871016;-0,150372;1;12,3918;-9,1854;0,0994;0,3610;0,1813;-179,1473
49;4217;14;16;25;32;39;43;0;0;-1,193447;-1,2288;0;4;0;-0,742091;1,710814;-0,961097;-2,394520;1;-4,4450;3,0169;-2,2338;-0,4266;1,0701;-210,5891
50;17;3;4;10;14;23;38;0;0;-0,675484;-0,7108;0;4;0;-0,133691;0,248079;-0,153232;-1,312124;1;-7,1595;5,5628;-0,5831;-2,3103;-0,8984;-213,8166
